Continent,Count,Max,Min,Min_nonzero,Pq_nonzero,Range,Ratio(Max/P01_nonzero),StdDev,Skewness,Skew_method,AncientRatio(>100000),Estimated_Peaks
Africa,300,115944.4444,0.0,166.6666667,222.2222222,115944.4444,521.7499998521749,16533.94827714872,2.7609436656361086,moment,0.0033333333333333335,4.0
Central_Asia,299,57000.0,0.0,111.1111111,222.2222222,57000.0,256.50000002564997,11019.525444653777,1.0867668242588864,moment,0.0,3.0
Southeast_Asia,301,56777.77778,0.0,55.55555556,131.111111116,56777.77778,433.0508474584286,15926.272704179262,1.2812052910287337,moment,0.0,5.0
