Continent,Count,Max,Min,Min_nonzero,Pq_nonzero,Range,Ratio(Max/P01_nonzero),StdDev,Skewness,Skew_method,AncientRatio(>100000),Estimated_Peaks,Diversity_pattern_score,Unique_hap_score,Max_norm,AncientRatio(>100000)_norm,StdDev_norm,Range_norm,Skewness_norm,Estimated_Peaks_norm,Diversity_pattern_score_norm,Unique_hap_score_norm,All_score_raw,All_score,Class_label
Africa,300,115944.4444,0.0,166.6666667,222.2222222,115944.4444,521.7499998521749,16533.94827714872,2.7609436656361086,moment,0.0033333333333333,4.0,0.5223,0.070681,1.0,0.9213503964748575,0.7957678628399644,0.9213492943922666,0.9201704992290087,0.5,0.3555636528834888,0.46656168759729977,8.213176460132138,0.8780976652495284,Origin_like
Central_Asia,299,57000.0,0.0,111.1111111,222.2222222,57000.0,256.50000002565,11019.525444653777,1.0867668242588864,moment,0.0,3.0,0.4892,0.021898,0.0,0.23975006109347674,0.07970550079073019,0.2409930231765216,0.20238019998446716,0.11033568095992341,0.1594227100966299,0.11887507934946057,1.5303612112677316,0.10090380163191792,Mix_like
Southeast_Asia,301,56777.77778,0.0,55.55555556,131.111111116,56777.77778,433.0508474584286,15926.272704179262,1.2812052910287337,moment,0.0,5.0,0.6141,0.130662,0.0,0.23975006109347674,0.7191964490098663,0.23851293172451887,0.28329871367563364,0.8896643190400766,0.9142149004436109,0.8969827153794666,5.326968959371666,0.5441477788222162,Middle_like
