Continent,Count,Max,Min,Min_nonzero,Pq_nonzero,AncientRatio(>50000),KernelScore_T5000,KernelScore_T50000,KernelScore_T500000,TimeDepthKernel_T50000,Range,StdDev,Skewness,Skew_method,Estimated_Peaks,Ratio(Max/P01_nonzero)
Africa,300,115944.44444444444,0.0,166.66666666666669,222.22222222222223,0.05,2.530415228470105e-19,3.7484038039780057e-48,2.505858262443887e-91,0.0583358097421191,2.842401194345791,0.5850909679571361,-0.4040350705336623,moment,1.0,521.75
Central_Asia,299,57000.0,0.0,111.11111111111111,222.22222222222223,0.0066889632107023,4.894581232256721e-22,6.893639995334302e-53,4.792523591143748e-98,0.0418980044234634,2.710117365111816,0.5265997456034647,-1.308156045951512,moment,2.0,256.5
Southeast_Asia,301,56777.777777777774,0.0,55.55555555555556,131.11111111111111,0.0465116279069767,2.249769833507088e-21,3.328335904141269e-52,2.2622123269204254e-97,0.1355148644424311,3.0094508957986936,0.6986483434239189,-0.7262330851844319,moment,2.0,433.0508474576271
