Continent,Count,Max,Min,Min_nonzero,Pq_nonzero,AncientRatio(>50000),KernelScore_T5000,KernelScore_T50000,KernelScore_T500000,TimeDepthKernel_T50000
Africa,300,115944.44444444444,0.0,166.66666666666669,222.22222222222223,0.05,2.530415228470105e-19,3.748403803978006e-48,2.505858262443887e-91,0.05833580974211915
Central_Asia,299,57000.0,0.0,111.11111111111111,222.22222222222223,0.006688963210702341,4.894581232256721e-22,6.893639995334302e-53,4.7925235911437475e-98,0.04189800442346346
Southeast_Asia,301,56777.777777777774,0.0,55.55555555555556,131.11111111111111,0.046511627906976744,2.2497698335070877e-21,3.328335904141269e-52,2.2622123269204257e-97,0.13551486444243116
