River,Count,time_depth_axis,time_depth_axis_norm,time_structure_axis,time_structure_axis_norm,Diversity_pattern_score_norm,Unique_hap_score_norm,All_score_raw,All_score,Class_label
Yangtze River,84,0.0122920604881611,0.7845306030693335,0.6549648406249413,0.6477510328872448,0.472304101334157,0.07866078612434546,4.984589365510327,0.7950683652216375,Origin_like
Yellow River,80,0.0113744010481876,0.7335051676448603,-2.3651095183225483,0.08541982344347399,0.895805116321758,0.7562704011810086,4.7569358349691555,0.7201283332332267,Origin_like
Zhujiang River,92,1.1007925355914188e-08,0.0791171542226865,1.710144677697607,0.8389752684787413,0.11731305890274829,0.7641702987034895,2.8759025114544663,0.07966076911550218,Mix_like
