River,Count,Max,Min,Min_nonzero,Pq_nonzero,AncientRatio(>50000),KernelScore_T5000,KernelScore_T50000,KernelScore_T500000,TimeDepthKernel_T50000,Range,StdDev,Skewness,Skew_method,Estimated_Peaks,Ratio(Max/P01_nonzero)
Yangtze River,84,48167.2266801761,0.0,204.4528240331612,204.4528240331612,0.0,1.32430126996021e-22,9.130664193475256e-54,2.561488907365478e-99,0.0122920604881611,2.372158528017325,0.3967725976432343,-0.1472269731483589,moment,1.0,235.59090909090904
Yellow River,80,45239.83397242857,102.22641201658055,102.22641201658055,102.22641201658055,0.0,7.212924153878367e-23,3.3656007061798284e-54,6.380814674000225e-100,0.0113744010481876,2.645957884399802,0.3835164986642435,-2.0931416279286905,moment,3.0,442.5454545454547
Zhujiang River,92,14367.457543421237,0.0,92.93310183325508,92.93310183325508,0.0,2.2454318664551997e-28,7.018986610396122e-63,9.634123381859393e-112,1.1007925355914188e-08,2.189209489582306,0.7565917135190929,0.0801911445080842,moment,2.0,154.60000000000002
