ID,Name,Length,Time_years,Haplogroup_PCA,Continent
1,1_L0,0,0,L0,Africa
2,2_L0,0,0,L0,Africa
3,3_L0,0,0,L0,Africa
4,4_L0,0.000212,11777.77778,L0,Africa
5,5_L0,0.000212,11777.77778,L0,Africa
6,6_L0,0,0,L0,Africa
7,7_L0,0,0,L0,Africa
8,8_L0,0.000113,6277.777778,L0,Africa
9,9_L0,0.000147,8166.666667,L0,Africa
10,10_L0,0.000113,6277.777778,L0,Africa
11,11_L0,2.70E-05,1500,L0,Africa
12,12_L0,2.70E-05,1500,L0,Africa
13,13_L0,0.000117,6500,L0,Africa
14,14_L0,0.000117,6500,L0,Africa
15,15_L0,0.000121,6722.222222,L0,Africa
16,16_L0,2.60E-05,1444.444444,L0,Africa
17,17_L0,3.00E-05,1666.666667,L0,Africa
18,18_L0,3.00E-05,1666.666667,L0,Africa
19,19_L0,2.60E-05,1444.444444,L0,Africa
20,20_L0,1.80E-05,1000,L0,Africa
21,21_L0,6.00E-06,333.3333333,L0,Africa
22,22_L0,5.00E-06,277.7777778,L0,Africa
23,23_L0,3.00E-06,166.6666667,L0,Africa
24,24_L0,8.00E-06,444.4444444,L0,Africa
25,25_L0,3.00E-06,166.6666667,L0,Africa
26,26_L0,1.80E-05,1000,L0,Africa
27,27_L0,5.00E-06,277.7777778,L0,Africa
28,28_L0,7.00E-06,388.8888889,L0,Africa
29,29_L0,4.20E-05,2333.333333,L0,Africa
30,30_L0,0.000437,24277.77778,L0,Africa
31,31_L0,6.70E-05,3722.222222,L0,Africa
32,32_L0,0,0,L0,Africa
33,33_L0,0,0,L0,Africa
34,34_L0,0,0,L0,Africa
35,35_L0,0,0,L0,Africa
36,36_L0,0.000418,23222.22222,L0,Africa
37,37_L0,0,0,L0,Africa
38,38_L0,0,0,L0,Africa
39,39_L0,9.40E-05,5222.222222,L0,Africa
40,40_L0,0.000165,9166.666667,L0,Africa
41,41_L0,9.40E-05,5222.222222,L0,Africa
42,42_L0,0,0,L0,Africa
43,43_L0,0.000282,15666.66667,L0,Africa
44,44_L0,0,0,L0,Africa
45,45_L0,0.000121,6722.222222,L0,Africa
46,46_L0,0.000121,6722.222222,L0,Africa
47,47_L0,0.000527,29277.77778,L0,Africa
48,48_L0,0.000215,11944.44444,L0,Africa
49,49_L0,0.000258,14333.33333,L0,Africa
50,50_L0,0.000215,11944.44444,L0,Africa
51,51_L0,0.000527,29277.77778,L0,Africa
52,52_L0,0.00112,62222.22222,L0,Africa
53,53_L0,0.001242,69000,L0,Africa
54,54_L0,0.000275,15277.77778,L0,Africa
55,55_L0,0.000421,23388.88889,L0,Africa
56,56_L0,0.000275,15277.77778,L0,Africa
57,57_L0,0.001242,69000,L0,Africa
58,58_L0,0,0,L0,Africa
59,59_L0,0,0,L0,Africa
60,60_L0,0,0,L0,Africa
61,61_L0,0,0,L0,Africa
62,62_L0,0,0,L0,Africa
63,63_L0,0,0,L0,Africa
64,64_L0,0.002087,115944.4444,L0,Africa
65,65_L1,0.000237,13166.66667,L1,Africa
66,66_L1,0.000237,13166.66667,L1,Africa
67,67_L1,0.000237,13166.66667,L1,Africa
68,68_L1,0.00016,8888.888889,L1,Africa
69,69_L1,5.50E-05,3055.555556,L1,Africa
70,70_L1,0.00016,8888.888889,L1,Africa
71,71_L1,0.000155,8611.111111,L1,Africa
72,72_L1,0.000155,8611.111111,L1,Africa
73,73_L1,0.000155,8611.111111,L1,Africa
74,74_L1,2.10E-05,1166.666667,L1,Africa
75,75_L1,2.10E-05,1166.666667,L1,Africa
