ID,Continent,Haplogroup
Public_sample1,North_Asia,A
Public_sample2,North_Asia,A
Public_sample3,North_Asia,A
Public_sample4,North_Asia,A
Public_sample5,North_Asia,A
Public_sample6,North_Asia,A
Public_sample7,North_Asia,A
Public_sample8,North_Asia,A
Public_sample9,North_Asia,A
Public_sample10,North_Asia,A
Public_sample11,East_Asia,A
Public_sample12,Southeast_Asia,A
Public_sample13,East_Asia,A
Public_sample14,East_Asia,A
Public_sample15,East_Asia,A
Public_sample16,East_Asia,A
Public_sample17,East_Asia,A
Public_sample18,East_Asia,A
Public_sample19,East_Asia,A
Public_sample20,East_Asia,A
Public_sample21,East_Asia,A
Public_sample22,East_Asia,A
Public_sample23,East_Asia,A
Public_sample24,East_Asia,A
Public_sample25,East_Asia,A
Public_sample26,East_Asia,A
Public_sample27,East_Asia,A
Public_sample28,East_Asia,A
Public_sample29,East_Asia,A
Public_sample30,East_Asia,A
Public_sample31,East_Asia,A
Public_sample32,East_Asia,A
Public_sample33,East_Asia,A
Public_sample34,East_Asia,A
Public_sample35,East_Asia,A
Public_sample36,East_Asia,A
Public_sample37,East_Asia,A
Public_sample38,East_Asia,A
Public_sample39,East_Asia,A
Public_sample40,East_Asia,A
Public_sample41,East_Asia,A
Public_sample42,East_Asia,A
Public_sample43,East_Asia,A
Public_sample44,East_Asia,A
Public_sample45,East_Asia,A
Public_sample46,East_Asia,A
Public_sample47,East_Asia,A
Public_sample48,East_Asia,A
Public_sample49,East_Asia,A
Public_sample50,East_Asia,A
Public_sample51,East_Asia,A
Public_sample52,East_Asia,A
Public_sample53,East_Asia,A
Public_sample54,East_Asia,A
Public_sample55,East_Asia,A
Public_sample56,East_Asia,A
Public_sample57,East_Asia,A
Public_sample58,East_Asia,A
Public_sample59,East_Asia,A
Public_sample60,East_Asia,A
Public_sample61,East_Asia,A
Public_sample62,East_Asia,A
Public_sample63,East_Asia,A
Public_sample64,East_Asia,A
Public_sample65,East_Asia,A
Public_sample66,East_Asia,A
Public_sample67,East_Asia,A
Public_sample68,East_Asia,A
Public_sample69,East_Asia,A
Public_sample70,East_Asia,A
Public_sample71,East_Asia,A
Public_sample72,East_Asia,A
Public_sample73,East_Asia,A
Public_sample74,East_Asia,A
Public_sample75,East_Asia,A
Public_sample76,East_Asia,A
Public_sample77,East_Asia,A
Public_sample78,East_Asia,A
Public_sample79,East_Asia,A
Public_sample80,East_Asia,A
Public_sample81,East_Asia,A
Public_sample82,East_Asia,A
Public_sample83,East_Asia,A
Public_sample84,East_Asia,A
Public_sample85,East_Asia,A
Public_sample86,East_Asia,A
Public_sample87,East_Asia,A
Public_sample88,East_Asia,A
Public_sample89,East_Asia,A
Public_sample90,East_Asia,A
Public_sample91,East_Asia,A
Public_sample92,East_Asia,A
Public_sample93,East_Asia,A
Public_sample94,East_Asia,A
Public_sample95,East_Asia,A
Public_sample96,East_Asia,A
Public_sample97,East_Asia,A
Public_sample98,East_Asia,A
Public_sample99,East_Asia,A
Public_sample100,East_Asia,A
Public_sample101,East_Asia,A
Public_sample102,East_Asia,A
Public_sample103,East_Asia,A
Public_sample104,East_Asia,A
Public_sample105,East_Asia,A
Public_sample106,East_Asia,A
Public_sample107,East_Asia,A
Public_sample108,East_Asia,A
Public_sample109,East_Asia,A
Public_sample110,East_Asia,A
Public_sample111,East_Asia,A
Public_sample112,East_Asia,A
Public_sample113,East_Asia,A
Public_sample114,East_Asia,A
Public_sample115,East_Asia,A
Public_sample116,East_Asia,A
Public_sample117,East_Asia,A
Public_sample118,East_Asia,A
Public_sample119,East_Asia,A
Public_sample120,East_Asia,A
Public_sample121,East_Asia,A
Public_sample122,East_Asia,A
Public_sample123,East_Asia,A
Public_sample124,East_Asia,A
Public_sample125,East_Asia,A
Public_sample126,East_Asia,A
Public_sample127,East_Asia,A
Public_sample128,East_Asia,A
Public_sample129,East_Asia,A
Public_sample130,East_Asia,A
Public_sample131,East_Asia,A
Public_sample132,East_Asia,A
Public_sample133,East_Asia,A
Public_sample134,East_Asia,A
Public_sample135,East_Asia,A
Public_sample136,East_Asia,A
Public_sample137,East_Asia,A
Public_sample138,East_Asia,A
Public_sample139,East_Asia,A
Public_sample140,East_Asia,A
Public_sample141,East_Asia,A
Public_sample142,East_Asia,A
Public_sample143,East_Asia,A
Public_sample144,East_Asia,A
Public_sample145,East_Asia,A
Public_sample146,East_Asia,A
Public_sample147,East_Asia,A
Public_sample148,East_Asia,A
Public_sample149,East_Asia,A
Public_sample150,East_Asia,A
Public_sample151,East_Asia,A
Public_sample152,East_Asia,A
Public_sample153,East_Asia,A
Public_sample154,East_Asia,A
Public_sample155,East_Asia,A
Public_sample156,East_Asia,A
Public_sample157,East_Asia,A
Public_sample158,East_Asia,A
Public_sample159,East_Asia,A
Public_sample160,East_Asia,A
Public_sample161,East_Asia,A
Public_sample162,East_Asia,A
Public_sample163,East_Asia,A
Public_sample164,East_Asia,A
Public_sample165,East_Asia,A
Public_sample166,East_Asia,A
Public_sample167,East_Asia,A
Public_sample168,East_Asia,A
Public_sample169,East_Asia,A
Public_sample170,East_Asia,A
Public_sample171,East_Asia,A
Public_sample172,East_Asia,A
Public_sample173,East_Asia,A
Public_sample174,East_Asia,A
Public_sample175,East_Asia,A
Public_sample176,East_Asia,A
Public_sample177,East_Asia,A
Public_sample178,East_Asia,A
Public_sample179,East_Asia,A
Public_sample180,East_Asia,A
Public_sample181,East_Asia,A
Public_sample182,East_Asia,A
Public_sample183,East_Asia,A
Public_sample184,East_Asia,A
Public_sample185,East_Asia,A
Public_sample186,East_Asia,A
Public_sample187,East_Asia,A
Public_sample188,East_Asia,A
Public_sample189,East_Asia,A
Public_sample190,East_Asia,A
Public_sample191,East_Asia,A
Public_sample192,East_Asia,A
Public_sample193,East_Asia,A
Public_sample194,East_Asia,A
Public_sample195,East_Asia,A
Public_sample196,East_Asia,A
Public_sample197,East_Asia,A
Public_sample198,East_Asia,A
Public_sample199,East_Asia,A
Public_sample200,East_Asia,A
Public_sample201,East_Asia,A
Public_sample202,East_Asia,A
Public_sample203,East_Asia,A
Public_sample204,East_Asia,A
Public_sample205,East_Asia,A
Public_sample206,East_Asia,A
Public_sample207,East_Asia,A
Public_sample208,East_Asia,A
Public_sample209,East_Asia,A
Public_sample210,East_Asia,A
Public_sample211,East_Asia,A
Public_sample212,East_Asia,A
Public_sample213,East_Asia,A
Public_sample214,East_Asia,A
Public_sample215,East_Asia,A
Public_sample216,East_Asia,A
Public_sample217,East_Asia,A
Public_sample218,East_Asia,A
Public_sample219,East_Asia,A
Public_sample220,East_Asia,A
Public_sample221,East_Asia,A
Public_sample222,East_Asia,A
Public_sample223,East_Asia,A
Public_sample224,East_Asia,A
Public_sample225,East_Asia,A
Public_sample226,East_Asia,A
Public_sample227,East_Asia,A
Public_sample228,East_Asia,A
Public_sample229,East_Asia,A
Public_sample230,East_Asia,A
Public_sample231,East_Asia,A
Public_sample232,East_Asia,A
Public_sample233,East_Asia,A
Public_sample234,East_Asia,A
Public_sample235,East_Asia,A
Public_sample236,East_Asia,A
Public_sample237,East_Asia,A
Public_sample238,East_Asia,A
Public_sample239,East_Asia,A
Public_sample240,East_Asia,A
Public_sample241,East_Asia,A
Public_sample242,East_Asia,A
Public_sample243,East_Asia,A
Public_sample244,East_Asia,A
Public_sample245,East_Asia,A
Public_sample246,East_Asia,A
Public_sample247,East_Asia,A
Public_sample248,East_Asia,A
Public_sample249,East_Asia,A
Public_sample250,East_Asia,A
Public_sample251,East_Asia,A
Public_sample252,East_Asia,A
Public_sample253,East_Asia,A
Public_sample254,East_Asia,A
Public_sample255,East_Asia,A
Public_sample256,East_Asia,A
Public_sample257,East_Asia,A
Public_sample258,East_Asia,A
Public_sample259,East_Asia,A
Public_sample260,East_Asia,A
Public_sample261,East_Asia,A
Public_sample262,East_Asia,A
Public_sample263,East_Asia,A
Public_sample264,East_Asia,A
Public_sample265,East_Asia,A
Public_sample266,East_Asia,A
Public_sample267,East_Asia,A
Public_sample268,East_Asia,A
Public_sample269,East_Asia,A
Public_sample270,East_Asia,A
Public_sample271,East_Asia,A
Public_sample272,East_Asia,A
Public_sample273,East_Asia,A
Public_sample274,East_Asia,A
Public_sample275,East_Asia,A
Public_sample276,East_Asia,A
Public_sample277,East_Asia,A
Public_sample278,East_Asia,A
Public_sample279,East_Asia,A
Public_sample280,East_Asia,A
Public_sample281,East_Asia,A
Public_sample282,East_Asia,A
Public_sample283,East_Asia,A
Public_sample284,East_Asia,A
Public_sample285,East_Asia,A
Public_sample286,East_Asia,A
Public_sample287,East_Asia,A
Public_sample288,East_Asia,A
Public_sample289,East_Asia,A
Public_sample290,East_Asia,A
Public_sample291,East_Asia,A
Public_sample292,East_Asia,A
Public_sample293,East_Asia,A
Public_sample294,East_Asia,A
Public_sample295,East_Asia,A
Public_sample296,East_Asia,A
Public_sample297,East_Asia,A
Public_sample298,East_Asia,A
Public_sample299,East_Asia,A
Public_sample300,East_Asia,A
Public_sample301,East_Asia,A
Public_sample302,East_Asia,A
Public_sample303,East_Asia,A
Public_sample304,East_Asia,A
Public_sample305,East_Asia,A
Public_sample306,East_Asia,A
Public_sample307,East_Asia,A
Public_sample308,East_Asia,A
Public_sample309,East_Asia,A
Public_sample310,East_Asia,A
Public_sample311,East_Asia,A
Public_sample312,East_Asia,A
Public_sample313,East_Asia,A
Public_sample314,East_Asia,A
Public_sample315,East_Asia,A
Public_sample316,East_Asia,A
Public_sample317,East_Asia,A
Public_sample318,East_Asia,A
Public_sample319,East_Asia,A
Public_sample320,East_Asia,A
Public_sample321,East_Asia,A
Public_sample322,East_Asia,A
Public_sample323,East_Asia,A
Public_sample324,East_Asia,A
Public_sample325,East_Asia,A
Public_sample326,East_Asia,A
Public_sample327,East_Asia,A
Public_sample328,East_Asia,A
Public_sample329,East_Asia,A
Public_sample330,East_Asia,A
Public_sample331,East_Asia,A
Public_sample332,East_Asia,A
Public_sample333,East_Asia,A
Public_sample334,East_Asia,A
Public_sample335,East_Asia,A
Public_sample336,East_Asia,A
Public_sample337,East_Asia,A
Public_sample338,East_Asia,A
Public_sample339,East_Asia,A
Public_sample340,East_Asia,A
Public_sample341,East_Asia,A
Public_sample342,East_Asia,A
Public_sample343,East_Asia,A
Public_sample344,East_Asia,A
Public_sample345,East_Asia,A
Public_sample346,East_Asia,A
Public_sample347,East_Asia,A
Public_sample348,East_Asia,A
Public_sample349,East_Asia,A
Public_sample350,East_Asia,A
Public_sample351,East_Asia,A
Public_sample352,East_Asia,A
Public_sample353,East_Asia,A
Public_sample354,East_Asia,A
Public_sample355,East_Asia,A
Public_sample356,East_Asia,A
Public_sample357,East_Asia,A
Public_sample358,East_Asia,A
Public_sample359,East_Asia,A
Public_sample360,East_Asia,A
Public_sample361,East_Asia,A
Public_sample362,East_Asia,A
Public_sample363,East_Asia,A
Public_sample364,East_Asia,A
Public_sample365,East_Asia,A
Public_sample366,East_Asia,A
Public_sample367,East_Asia,A
Public_sample368,East_Asia,A
Public_sample369,East_Asia,A
Public_sample370,East_Asia,A
Public_sample371,East_Asia,A
Public_sample372,East_Asia,A
Public_sample373,East_Asia,A
Public_sample374,East_Asia,A
Public_sample375,East_Asia,A
Public_sample376,East_Asia,A
Public_sample377,East_Asia,A
Public_sample378,East_Asia,A
Public_sample379,East_Asia,A
Public_sample380,East_Asia,A
Public_sample381,East_Asia,A
Public_sample382,East_Asia,A
Public_sample383,East_Asia,A
Public_sample384,East_Asia,A
Public_sample385,East_Asia,A
Public_sample386,East_Asia,A
Public_sample387,East_Asia,A
Public_sample388,East_Asia,A
Public_sample389,East_Asia,A
Public_sample390,East_Asia,A
