Haplogroup	Frequency_Africa	Frequency_non_Africa	Total_Africa	Total_non_Africa
L1c2b1a'b	0.000297	0.000020	3363	50111
L1c2b1b	0.000297	0.000040	3363	50111
L1c2b2	0.000297	0.000080	3363	50111
L1c3	0.000595	0.000000	3363	50111
L1c3a	0.003568	0.000040	3363	50111
L1c3a1a	0.000297	0.000040	3363	50111
L1c3a1b	0.000892	0.000040	3363	50111
L1c3b1a	0.001189	0.000020	3363	50111
L1c3c	0.005352	0.000020	3363	50111
L1c4b	0.001784	0.000040	3363	50111
L1c5	0.000297	0.000040	3363	50111
L2a1+143	0.001189	0.000040	3363	50111
L2a1+143+16189  (16192)	0.000892	0.000040	3363	50111
L2a1+143+@16309	0.000595	0.000000	3363	50111
L2a1a	0.003568	0.000040	3363	50111
L2a1a1	0.000297	0.000020	3363	50111
L2a1a2	0.016949	0.000060	3363	50111
L2a1a2a1a	0.001189	0.000040	3363	50111
L2a1a2b	0.000297	0.000040	3363	50111
L2a1a2c	0.000297	0.000040	3363	50111
L2a1a3a	0.000892	0.000040	3363	50111
L2a1a3c	0.001189	0.000040	3363	50111
L2a1b1a	0.052632	0.000040	3363	50111
L2a1c	0.000892	0.000040	3363	50111
L2a1c1	0.000297	0.000020	3363	50111
L2a1c2	0.000892	0.000040	3363	50111
L2a1c3a	0.001189	0.000040	3363	50111
L2a1c3b1	0.000892	0.000040	3363	50111
L2a1c3b2	0.000595	0.000020	3363	50111
L2a1c4a	0.000297	0.000040	3363	50111
L2a1c5	0.000595	0.000020	3363	50111
L2a1d1	0.000595	0.000040	3363	50111
L2a1f	0.005650	0.000040	3363	50111
L2a1f1	0.000595	0.000040	3363	50111
L2a1f2	0.000297	0.000040	3363	50111
L2a1f3	0.002379	0.000100	3363	50111
L2a1g	0.000595	0.000060	3363	50111
L2a1h	0.000595	0.000040	3363	50111
L2a1i1	0.000297	0.000040	3363	50111
L2a1l2	0.000892	0.000020	3363	50111
L2a1m	0.000297	0.000020	3363	50111
L2a2a1	0.000892	0.000040	3363	50111
L2a2b1a	0.001189	0.000040	3363	50111
L2a2b2	0.000297	0.000040	3363	50111
L2a4a	0.000595	0.000040	3363	50111
L2a5	0.002081	0.000020	3363	50111
L2b1a	0.000892	0.000020	3363	50111
L2b1a2	0.000595	0.000040	3363	50111
L2b1a3	0.002676	0.000060	3363	50111
L2b2	0.000892	0.000020	3363	50111
L2b2a	0.001189	0.000040	3363	50111
L2b3a	0.000297	0.000040	3363	50111
L2c	0.001487	0.000080	3363	50111
L2c1a	0.001189	0.000040	3363	50111
L2c2a1	0.000297	0.000040	3363	50111
L2c2b1b	0.000892	0.000040	3363	50111
L2c3a	0.000297	0.000040	3363	50111
L2c5	0.000297	0.000020	3363	50111
L2d1a	0.000297	0.000060	3363	50111
L2e1	0.000595	0.000020	3363	50111
L3	0.000892	0.000000	3363	50111
L3a+709	0.004163	0.000020	3363	50111
L3a1	0.000297	0.000000	3363	50111
L3a1b	0.000595	0.000040	3363	50111
L3b1	0.000297	0.000000	3363	50111
L3b1a	0.002676	0.000020	3363	50111
L3b1a+@16124	0.000892	0.000080	3363	50111
L3b1a10	0.000595	0.000020	3363	50111
L3b1a11	0.001189	0.000060	3363	50111
L3b1a1a	0.055902	0.000160	3363	50111
L3b1a3	0.001487	0.000040	3363	50111
L3b1a7	0.000297	0.000020	3363	50111
L3b1a8	0.005055	0.000000	3363	50111
L3b1b	0.001487	0.000040	3363	50111
L3b2	0.000892	0.000020	3363	50111
L3b2a	0.000297	0.000040	3363	50111
L3b2b	0.000892	0.000020	3363	50111
L3c'd	0.000297	0.000000	3363	50111
L3d1	0.000297	0.000000	3363	50111
L3d1'2'3'4'5'6	0.000297	0.000020	3363	50111
L3d1a	0.000892	0.000020	3363	50111
L3d1a1a	0.016354	0.000180	3363	50111
L3d1a1a1	0.012786	0.000060	3363	50111
L3d1a1b	0.000595	0.000020	3363	50111
L3d1a2	0.000595	0.000040	3363	50111
L3d1b	0.001189	0.000040	3363	50111
L3d1c1	0.000892	0.000040	3363	50111
