Haplogroup,Score_Yellow_River,Score_Yangtze_River,Score_Zhujiang_River
C1b1a2b,0.000000,1.000000,0.000000
C2a1a1b1a,0.000000,0.000000,0.000000
C2a1a3a1e1,1.000000,0.000000,0.000000
C2b1a1a1a1,0.000000,0.000000,0.000000
C2b1a1a1b,0.000000,0.000000,0.000000
C2b1a2a1a1,0.000000,0.000000,0.000000
C2b1a2b2a,1.000000,0.000000,0.000000
C2b1b1a1b,0.000000,1.000000,0.000000
C2b1b1b2,0.000000,1.000000,0.000000
C2b2,0.000000,0.000000,1.000000
D1a1a1a1b,0.000000,1.000000,0.000000
D1a1b1a,1.000000,0.000000,0.000000
F,0.000000,1.000000,0.000000
G2a2b2a1a1c1b,1.000000,0.000000,0.000000
N1a1a1a1a3a2b2,1.000000,0.000000,0.000000
N1a2a1,1.000000,0.000000,0.000000
N1a2a1a1,1.000000,0.000000,0.000000
N1b1a1,1.000000,0.000000,0.000000
N1b1a1a,1.000000,0.000000,0.000000
N1b1a1b,1.000000,0.000000,0.000000
N1b1a2a,1.000000,0.000000,0.000000
N1b1b1,1.000000,0.000000,0.000000
N1b2,0.000000,0.000000,0.000000
N1b2a1a,1.000000,0.000000,0.000000
O1a1a1a1a1a1a,1.000000,0.000000,0.000000
O1a1a1a1a1a1a5,0.000000,1.000000,0.000000
O1a1a1a1a1a1b,0.000000,0.000000,1.000000
O1a1a1a1a1a1c1a1,0.000000,0.000000,1.000000
O1a1a1a1a1a1d1a1,1.000000,0.000000,0.000000
O1a1a1a1a1a2a2,1.000000,0.000000,0.000000
O1a1a1a3a,1.000000,0.000000,0.000000
O1a1a1b1a1,1.000000,0.000000,0.000000
O1a1a1b1b1a1a,0.000000,1.000000,0.000000
O1a1a2a1a1a,1.000000,0.000000,0.000000
O1a1a2a1a2,0.000000,0.000000,1.000000
O1a1a2a1a3,0.000000,1.000000,0.000000
O1a1a2a1a3a,0.000000,1.000000,0.000000
O1a1a2a1b1a,1.000000,0.000000,0.000000
O1a1a2c,1.000000,0.000000,0.000000
O1a1b,1.000000,0.000000,0.000000
O1b1,0.000000,1.000000,0.000000
O1b1a1a1a1a1a1a1,0.000000,0.000000,0.000000
O1b1a1a1a1a1a1a1a1a1a,0.000000,0.000000,0.000000
O1b1a1a1a1a1a1a1b,0.000000,1.000000,0.000000
O1b1a1a1a1a1a1a2a,0.000000,1.000000,0.000000
O1b1a1a1a1a1a1a2b,0.000000,0.000000,0.000000
O1b1a1a1a1a1a1b1,1.000000,0.000000,0.000000
O1b1a1a1a1a1b1a,0.000000,1.000000,0.000000
O1b1a1a1a1a1b1a1a,0.000000,0.000000,1.000000
O1b1a1a1a1a1b1b,0.000000,1.000000,0.000000
O1b1a1a1a1b1a1a1a2b,0.000000,1.000000,0.000000
O1b1a1a1a1b1a1a1a3,0.000000,1.000000,0.000000
O1b1a1a1a1b1b,0.000000,1.000000,0.000000
O1b1a1a1a1b1b1,1.000000,0.000000,0.000000
O1b1a1a1a1b2a1a1a,0.000000,1.000000,0.000000
O1b1a1a1a1b2a1a2,1.000000,0.000000,0.000000
O1b1a1a1a2,1.000000,0.000000,0.000000
O1b1a1a1a2a1,0.000000,1.000000,0.000000
O1b1a1a1b,0.000000,1.000000,0.000000
O1b1a1a1b1,0.000000,1.000000,0.000000
O1b1a1a1b1a,0.000000,0.000000,0.000000
O1b1a1a1b1b,0.000000,1.000000,0.000000
O1b1a1a1b1b1a,0.000000,1.000000,0.000000
O1b1a1a1b2a,0.000000,0.000000,0.000000
O1b1a1a2,0.000000,0.000000,1.000000
O1b1a1b1a1a1,1.000000,0.000000,0.000000
O1b1a1b1a1b2,0.000000,0.000000,1.000000
O1b1a2a,1.000000,0.000000,0.000000
O1b1a2a1,0.000000,0.000000,0.000000
O1b1a2a1a,1.000000,0.000000,0.000000
