Haplogroup,Score_Yellow_River,Score_Yangtze_River,Score_Zhujiang_River
O1b1a2b1a,1.000000,0.000000,0.000000
O1b1a2c,0.000000,0.000000,0.000000
O1b2a1a2a1b1,1.000000,0.000000,0.000000
O1b2a1a2b,0.000000,0.000000,1.000000
O1b2a1b,1.000000,0.000000,0.000000
O2a1a1a1a,0.000000,0.000000,1.000000
O2a1a1a1a1b1,0.000000,1.000000,0.000000
O2a1a1a1a2,0.000000,0.000000,1.000000
O2a1a1a1b1,0.000000,0.000000,1.000000
O2a1a1a1b1a,1.000000,0.000000,0.000000
O2a1a1b1a1b,1.000000,0.000000,0.000000
O2a1b1a1a1a1a1a1a1a1,0.000000,0.000000,1.000000
O2a1b1a1a1a1a1a1a1a2a,0.000000,0.000000,1.000000
O2a1b1a1a1a1a1a1a1a2a1a,0.000000,0.000000,1.000000
O2a1b1a1a1a1a1a1a2a,0.000000,0.000000,1.000000
O2a1b1a1a1a1a1a1a2b,0.000000,0.000000,1.000000
O2a1b1a1a1a1a1a1b1,1.000000,0.000000,0.000000
O2a1b1a1a1a1a1a1b1b1,0.000000,0.000000,1.000000
O2a1b1a1a1a1a1a1b1e,0.000000,0.000000,1.000000
O2a1b1a1a1a1a1b1a1,1.000000,0.000000,0.000000
O2a1b1a1a1a1a1b2,1.000000,0.000000,0.000000
O2a1b1a1a1a1a3,1.000000,0.000000,0.000000
O2a1b1a1a1a1d1,1.000000,0.000000,0.000000
O2a1b1a1a1a1f1a2a,0.000000,0.000000,0.000000
O2a1b1a1a1a1f1a2a1a,0.000000,1.000000,0.000000
O2a1b1a1a1a1f2b,0.000000,0.000000,1.000000
O2a1b1a1a1a1h1,0.000000,0.000000,1.000000
O2a1b1a2a1a1a1b1,0.000000,0.000000,1.000000
O2a1b1a2a1a2b,1.000000,0.000000,0.000000
O2a1b1a2a2b,0.000000,0.000000,1.000000
O2a1b2,1.000000,0.000000,0.000000
O2a1b2a1a,0.000000,1.000000,0.000000
O2a1b2a2a,0.000000,1.000000,0.000000
O2a2a1a1a1a,0.000000,0.000000,1.000000
O2a2a1a1a1b,1.000000,0.000000,0.000000
O2a2a1a2a1a1a2a1a1a,0.000000,0.000000,1.000000
O2a2a1a2a1a1a2a1a1a1,0.000000,1.000000,0.000000
O2a2a1a2a1a1b2,0.000000,0.000000,1.000000
O2a2a1a2a1b,0.000000,0.000000,0.000000
O2a2a2a1,1.000000,0.000000,0.000000
O2a2a2a2,0.000000,0.000000,1.000000
O2a2b1a1a1,0.000000,0.000000,0.000000
O2a2b1a1a1a1,0.000000,0.000000,1.000000
O2a2b1a1a1a1a1a1a,0.000000,1.000000,0.000000
O2a2b1a1a1a1a1a1a1a5,1.000000,0.000000,0.000000
O2a2b1a1a1a1a1a1b1,1.000000,0.000000,0.000000
O2a2b1a1a1a1a1b1,1.000000,0.000000,0.000000
O2a2b1a1a1a1a1b1a1a2,1.000000,0.000000,0.000000
O2a2b1a1a1a1a1c1,0.000000,0.000000,0.000000
O2a2b1a1a1a1b,1.000000,0.000000,0.000000
O2a2b1a1a1a3a1a1,0.000000,0.000000,1.000000
O2a2b1a1a1a3a1a2,0.000000,1.000000,0.000000
O2a2b1a1a1a4a,0.000000,0.000000,0.000000
O2a2b1a1a1a4a2a,0.000000,1.000000,0.000000
O2a2b1a1a1a4a2a1a1,0.000000,0.000000,0.000000
O2a2b1a1a1a4a2a1b,0.000000,1.000000,0.000000
O2a2b1a1a1a4a2a3,0.000000,1.000000,0.000000
O2a2b1a1a1b1a1b,0.000000,0.000000,0.000000
O2a2b1a1a1b2,1.000000,0.000000,0.000000
O2a2b1a1a1c1a1a1,0.000000,0.000000,1.000000
O2a2b1a1a1c1a1a2a,0.000000,0.000000,0.000000
O2a2b1a1a1c1b,0.000000,1.000000,0.000000
O2a2b1a1b,1.000000,0.000000,0.000000
O2a2b1a2a1,1.000000,0.000000,0.000000
O2a2b1a2a1a1a1,1.000000,0.000000,0.000000
O2a2b1a2a1a1a1a1a1a,0.000000,0.000000,1.000000
O2a2b1a2a1a1a2a1,1.000000,0.000000,0.000000
O2a2b1a2a1a1a2a1a1a,0.000000,0.000000,0.000000
O2a2b1a2a1a1b,1.000000,0.000000,0.000000
O2a2b1a2a1a1b1,0.000000,0.000000,1.000000
O2a2b1a2a1a1b1a1,1.000000,0.000000,0.000000
O2a2b1a2a1a1b1b1,0.000000,0.000000,1.000000
O2a2b1a2a1a1b1b2a,1.000000,0.000000,0.000000
O2a2b1a2a1a1b1b2b2,0.000000,0.000000,0.000000
O2a2b1a2a1a2a1,0.000000,1.000000,0.000000
O2a2b1a2a1a2a1a,0.000000,0.000000,0.000000
O2a2b1a2a1a4a1,1.000000,0.000000,0.000000
O2a2b2a1a1,0.000000,0.000000,1.000000
O2a2b2a1b1,0.000000,0.000000,0.000000
O2a2b2b1a1,1.000000,0.000000,0.000000
O2b1a1a1a1,0.000000,0.000000,1.000000
Q1a1a1,0.000000,0.000000,0.000000
Q1a1a1a,0.000000,0.000000,0.000000
Q1b1a3b,1.000000,0.000000,0.000000
R1b1a1b1b,0.000000,0.000000,0.000000
AVERAGE,0.380645,0.225806,0.219355
