Haplogroup	Frequency_Southeast_Asia	Frequency_non_Southeast_Asia	Total_Southeast_Asia	Total_non_Southeast_Asia
D4b2a1	0.005414	0.000107	6649	46825
D4b2b	0.000301	0.005617	6649	46825
D4b2b2a	0.000301	0.000064	6649	46825
D4e1a	0.004512	0.001730	6649	46825
D4e1a2	0.001354	0.000470	6649	46825
D4e1a3	0.001955	0.000769	6649	46825
D4e3	0.000451	0.001239	6649	46825
D4g2a	0.001203	0.000085	6649	46825
D4g2a1	0.000451	0.004015	6649	46825
D4g2a1b	0.000752	0.000085	6649	46825
D4g2a1c	0.000451	0.000043	6649	46825
D4h	0.000451	0.000171	6649	46825
D4h1	0.000752	0.001452	6649	46825
D4h1c	0.000150	0.001324	6649	46825
D4h3	0.000602	0.000747	6649	46825
D4i	0.001203	0.000662	6649	46825
D4j+146	0.000150	0.000085	6649	46825
D4j1	0.000602	0.000342	6649	46825
D4j1a	0.000150	0.000214	6649	46825
D4j1a1	0.004813	0.000726	6649	46825
D4j1b	0.000451	0.000491	6649	46825
D4j1b2	0.003459	0.000085	6649	46825
D4j2	0.000150	0.000043	6649	46825
D4j3	0.000602	0.002413	6649	46825
D4k	0.000752	0.000214	6649	46825
D4q	0.001053	0.001388	6649	46825
D4s	0.001504	0.000448	6649	46825
D5	0.000150	0.000128	6649	46825
D5a2a+16092	0.001354	0.000214	6649	46825
D5a2a1	0.002858	0.008265	6649	46825
D5a2a1+@16172	0.000752	0.000641	6649	46825
D5a2b	0.000752	0.000235	6649	46825
D5b1c1	0.000150	0.000982	6649	46825
D5b1c1a	0.000451	0.000577	6649	46825
D5b3	0.001654	0.001303	6649	46825
D5b4	0.001955	0.000577	6649	46825
D5c+16311	0.000150	0.000064	6649	46825
D6a2	0.000301	0.000064	6649	46825
D6c	0.000301	0.000662	6649	46825
E1a1a1	0.001354	0.004207	6649	46825
E1a1a1a	0.002707	0.000043	6649	46825
E2a	0.000752	0.000192	6649	46825
E2a1a	0.000150	0.000021	6649	46825
E2b	0.000752	0.000256	6649	46825
F1+16189	0.002707	0.000278	6649	46825
F1a	0.011581	0.002178	6649	46825
F1a'c'f	0.001203	0.001046	6649	46825
F1a1	0.006918	0.004421	6649	46825
F1a1'4	0.000602	0.007944	6649	46825
F1a1a	0.059107	0.001004	6649	46825
F1a1a1	0.022409	0.000299	6649	46825
F1a1c	0.000451	0.001815	6649	46825
F1a1c1	0.000602	0.000064	6649	46825
F1a1d	0.005866	0.003289	6649	46825
F1a2	0.002406	0.000384	6649	46825
F1a2a	0.001053	0.000662	6649	46825
F1a3	0.002557	0.002734	6649	46825
F1a3+16311	0.000451	0.000021	6649	46825
F1a4a	0.003008	0.000982	6649	46825
F1a4a1	0.001053	0.000235	6649	46825
F1a4b	0.000150	0.000107	6649	46825
F1b1+@152	0.000602	0.001089	6649	46825
F1b1c	0.002106	0.001196	6649	46825
F1c1	0.000451	0.000128	6649	46825
F1c1a	0.007069	0.000107	6649	46825
F1c1a1	0.001203	0.002947	6649	46825
F1c1a2	0.000902	0.000619	6649	46825
F1d	0.007520	0.002691	6649	46825
F1d1	0.000301	0.000555	6649	46825
F1e	0.000150	0.000918	6649	46825
F1e3	0.001805	0.001239	6649	46825
F1f	0.018198	0.001666	6649	46825
F1g	0.001955	0.002691	6649	46825
F1g1	0.004963	0.001260	6649	46825
F2	0.000451	0.001410	6649	46825
F2a	0.001203	0.005040	6649	46825
F2a+@16291	0.000301	0.000171	6649	46825
F2a1	0.002256	0.002221	6649	46825
F2b1	0.002406	0.000256	6649	46825
F2d	0.000451	0.002371	6649	46825
F2e	0.000902	0.000534	6649	46825
F2h	0.000301	0.000320	6649	46825
F3a	0.001203	0.001345	6649	46825
F3a+207	0.000301	0.000043	6649	46825
F3a1	0.007370	0.003075	6649	46825
F3b	0.000301	0.000406	6649	46825
F3b+152	0.000301	0.000064	6649	46825
F3b1a	0.000301	0.000021	6649	46825
F3b1a1	0.000150	0.000043	6649	46825
F3b1b	0.000602	0.002840	6649	46825
F4a2	0.001504	0.000876	6649	46825
F4b	0.000451	0.000812	6649	46825
G	0.001504	0.000128	6649	46825
G1a	0.000451	0.000897	6649	46825
G1a1	0.001354	0.003246	6649	46825
G1a2	0.000451	0.000363	6649	46825
G1c	0.001053	0.001132	6649	46825
G2	0.000752	0.000021	6649	46825
G2a	0.001654	0.001815	6649	46825
G2a+152	0.000301	0.001046	6649	46825
G2a1	0.001203	0.002435	6649	46825
G2a1+16189	0.000150	0.000299	6649	46825
G2a1d2	0.000451	0.000726	6649	46825
G2a1d2a	0.000602	0.000107	6649	46825
G2b1a	0.000301	0.000961	6649	46825
G2b1a1	0.004211	0.000064	6649	46825
G2b1a2	0.000150	0.000299	6649	46825
G2b2c	0.000451	0.000192	6649	46825
G2c	0.000150	0.000406	6649	46825
G3a1'2	0.000301	0.000662	6649	46825
G3a3	0.000150	0.000192	6649	46825
G3b2	0.000301	0.000235	6649	46825
H13a2a	0.000301	0.000320	6649	46825
H14	0.000602	0.000043	6649	46825
H1c4b	0.000451	0.000043	6649	46825
H5	0.000150	0.000726	6649	46825
H5a1+16093	0.000301	0.000021	6649	46825
H5a1g	0.000150	0.000000	6649	46825
HV12b1	0.000150	0.000107	6649	46825
HV4b	0.000752	0.000064	6649	46825
