Haplogroup,score
A+152+16362,0
A12a,0
A14,0
A5,0
B4a1c4,0
B5b2a1,0
C1f,0
C4+152,0
C4a2a,0
C4a2a1,0
C4a2c,0
C4a2c1,0
C4d,0
C5a1,0
C5b1b1,0
C7a1,0
D4,0
D4a3b,0
D4b1a2a1,0
D4b2b,0
D4b2b2,0
D4b2d,0
D4c1b,0
D4c2b,0
D4e4,0
D4e5a,0
D4f1,0
D4h4a,0
D4j5a,0
D4j8,0
D4l2,0
D4m,0
D5a2a1+@16172,0
D5b,0
D5b1b,0
F1a1,0
F1a3b,0
F1b1+@152,0
F1b1c,0
F1b1f,0
F2,0
G1a1,0
G2,0
G2a+152,0
G2a1f,0
G2a2,0
G2a2a,0
G2a5,0
H,0
H10e,0
H13,0
H15a1a1,0
H15a1b,0
H16+152,0
H1a3,0
H1ba,0
H20c,0
H2a,0
H2a1a,0
H2a1f,0
H2a2a,0
H2a2a1,1
H2b,0
H3g3,0
H41a,0
H44b,0
H55+153,0
H5a1,0
H5e1,0
H6a1b,0
H6b2,0
H79,0
H8+(114)+152,0
H8b1,0
HV,0
HV+16311,0
HV14a,0
HV18,0
HV1b,0
HV2,0
HV2a3,0
I,0
I1a1,0
J1b,0
J1b1a1,0
J1b6,0
J1c2o,0
J1c3f,0
J1d1a1,0
J2b1a2a,0
K1a12a,0
M,0
M10a1a1a,0
M65,1
M65a+@16311,0
M7b1a1a3,0
N,0
N1a1a1a1,0
N1a1a1a1a,0
N1a3a,0
N9a1,0
N9a2,0
N9a3,0
R,0
R0a,0
R1a1a,0
R9b2,0
T1a1,0
T1a1d,0
T2,0
T2a1a,0
T2a3,0
T2b,0
T2b4h,0
T2d2,0
U,1
U2c,0
U2e,0
U2e1,0
U2e1h,0
U4b1a1a1,0
U4d2,0
U5a1a1,0
U5a1b1,0
U5a1g,0
U5a2,0
U5a2a1,0
U5b1e1,0
U7a,0
V14,0
W3a1,0
W3b,0
W6,0
X2i,0
Z1a,0
Z3,0
Z4a,0
