Haplogroup,score
M7b1a1e2,0
M7b1a1f,0
M7b1a1g,0
M7b1a1h,0
M7b1a1i,0
M7b1a2a1,0
M7b2a,0
M7c,1
M7c1,0
M7c1a,0
M7c1a4a,0
M7c1b2b,0
M7c1c1,0
M7c1c2,0
M7c1c2a,0
M7c1c3,0
M7c1c3a,1
M7c1c3a1,0
M7c1c3b,0
M7c1c3d,0
M7c1c3e,0
M7c2,0
M7c2a,0
M7c2b,0
M7c3,0
M8a2'3,0
M8a2a,0
M8a2a1,0
M9,0
M91a,0
M91b,1
M9a,0
M9a'b,0
M9a1,0
M9a1a1,0
M9a1a2,0
M9a1a3,0
M9a1b+150,0
M9a1b1,0
M9a4a,0
M9a4a1,0
M9a4a2,0
M9a5,0
M9b,0
N,0
N10a,0
N10b,0
N11b,1
N1a1a1a1,0
N21,0
N21+195,0
N21a,0
N22,0
N7,1
N7a,1
N7a1,1
N7a2,1
N7b,1
N8,0
N9a,0
N9a1,0
N9a10,0
N9a10+16311,0
N9a11,0
N9a2a1,0
N9a2c,0
N9a3,0
N9a4,0
N9a4b,0
N9a6,0
N9a6a,0
N9b1c,0
P4a,0
Q1c1a,0
Q1d,0
R,0
R+16189,0
R11'B6,0
R11b1,0
R2+13500,0
R21,0
R22,0
R23,1
R24,1
R30,0
R30b2a,0
R31a,0
R5a,1
R5a1a,0
R5a2a,0
R6a2,0
R6b,0
R7,0
R8a1+16093,0
R9,0
R9b,0
R9b1,0
R9b1a,1
R9b1a1,1
R9b1a1a,0
R9b1a2a,0
R9b1a2b,0
R9b1a3,0
R9b1b,0
R9b2,0
R9c,0
R9c1a,0
R9c1b1,0
R9c1b2,0
T2a+195,0
U1a1c1a,0
U1a1c1d,0
U2+152,1
U2a1,0
U2a1a,0
U2a1b,0
U2a2,0
U2b,0
U2b1,0
U2b2,0
U2c1,0
U2c1b,0
U6,0
W3a1b,0
W3b,0
W4a,0
X,1
Y1,0
Y1b1a,0
Y2,0
Y2a,0
Y2a1,0
Z,0
Z+152,0
Z3,0
Z3a,0
Z3a1a,0
Z3c,0
Z4,0
Z4a1a1,0
