Haplogroup,score
B4a1a1,0
B4a1a1b,0
E1,0
E1a1a,0
E1a1a1,0
F3b1b,0
F4b,0
F4b1,0
H,0
H+152,0
H+16129,0
H1,0
H1+152,0
H1+16189,0
H1+16311,0
H10,0
H101,0
H10a1,0
H13a1a2a,0
H13a2a1,0
H13b1,0
H14b4,0
H15b1,0
H1af1,0
H1ak,0
H1ak1,0
H1b,0
H1c5,0
H1c9,0
H1e,0
H1e1a6,0
H1t2,0
H1v,0
H1v1,1
H20c,0
H23,0
H2a1+146,0
H2a1a,0
H2a5b,0
H3,0
H3+16311,0
H30a,0
H32,0
H3aa,0
H3g1,0
H3r,0
H3r1,0
H3u,0
H4a1,0
H4a1a,0
H5,0
H53,0
H55b,0
H5a1,0
H61,0
H6a1a,0
H7,0
H71,0
H75,0
H87,0
HV,0
HV0+195,0
HV0g,0
HV15,0
HV1a'b'c,0
HV1a1a,0
HV1b3,0
HV1c,0
HV24,0
HV2a1,0
HV4,0
I1a,0
I4a,0
I5a1c,0
I6,1
J1b1a1,0
J1b1b1,0
J1b2,0
J1c10a,0
J1c2,0
J1c3,0
J2a1a1,0
J2a1a1e,0
J2a2a1a1,0
J2a2b1a,0
J2a2d,0
K1a1a,0
K1a4b1,0
K1b1c,0
L0a,1
L0a1'4,1
L0a1+16293,1
L0a1a+200,0
L0a1a1,0
L0a1a2,0
L0a1b,1
L0a1b1a,0
L0a1b1a1,0
L0a1b1a1a,0
L0a1e,0
L0a2,1
L0a2a1,0
L0a2a1a,1
L0a2a1a2,0
L0a2a1b,0
L0a2a2,0
L0a2a2a,0
L0a2b,0
L0a2d,0
L0d1a1a1,0
L0d1b2b2c1,0
L0d1c,0
L0d2a'b'd,1
L0f,0
L0k1a1a,0
L1b1a,0
L1b1a+189,0
L1b1a10,0
L1b1a14,0
L1b1a17,0
L1b1a18,0
L1b1a2,0
L1b1a2a,0
L1b1a3,0
L1b1a3a,0
L1b1a4,0
L1b1a4a,0
L1b1a5,0
L1b1a6,0
L1b1a7,0
L1b1a9,0
L1b2a,0
L1c1,1
L1c1a1a1a,0
L1c1a1a1b,0
L1c1a1a1b1,0
L1c1a2a1,0
L1c1a2a2,0
L1c1a2b,0
L1c1d,1
L1c2a1a,0
L1c2a2,0
L1c2a3a,0
L1c2b1a'b,0
L1c2b1b,0
L1c2b2,0
L1c3,1
L1c3a,0
L1c3a1a,0
L1c3a1b,0
L1c3b1a,0
L1c3c,0
L1c4b,0
L1c5,0
L2a1+143,0
L2a1+143+16189  (16192),0
L2a1+143+@16309,1
L2a1a,0
L2a1a1,0
L2a1a2,0
L2a1a2a1a,0
L2a1a2b,0
L2a1a2c,0
L2a1a3a,0
L2a1a3c,0
L2a1b1a,0
L2a1c,0
L2a1c1,0
L2a1c2,0
L2a1c3a,0
L2a1c3b1,0
L2a1c3b2,0
L2a1c4a,0
L2a1c5,0
L2a1d1,0
L2a1f,0
L2a1f1,0
L2a1f2,0
L2a1f3,0
L2a1g,0
L2a1h,0
L2a1i1,0
L2a1l2,0
L2a1m,0
L2a2a1,0
L2a2b1a,0
L2a2b2,0
L2a4a,0
L2a5,0
L2b1a,0
L2b1a2,0
L2b1a3,0
L2b2,0
L2b2a,0
L2b3a,0
L2c,0
L2c1a,0
L2c2a1,0
L2c2b1b,0
L2c3a,0
L2c5,0
L2d1a,0
L2e1,0
L3,1
L3a+709,0
L3a1,1
L3a1b,0
L3b1,1
L3b1a,0
L3b1a+@16124,0
L3b1a10,0
L3b1a11,0
L3b1a1a,0
L3b1a3,0
L3b1a7,0
L3b1a8,1
L3b1b,0
L3b2,0
L3b2a,0
L3b2b,0
L3c'd,1
L3d1,1
L3d1'2'3'4'5'6,0
L3d1a,0
L3d1a1a,0
L3d1a1a1,0
L3d1a1b,0
L3d1a2,0
L3d1b,0
L3d1c1,0
L3d1d,0
L3d2b,0
L3d3a1,0
L3d3a1a,0
L3d3b,0
L3d4,0
L3d5a,0
L3e1,0
L3e1a1a,0
L3e1a3a,0
L3e1b1,0
L3e1b2,0
L3e1c,0
L3e1d1,0
L3e1e,0
L3e1e1,0
L3e1f1,0
L3e1g,0
L3e2a,0
L3e2a1b,0
L3e2a1b1,0
L3e2a1b2,0
L3e2a2,0
L3e2b,0
L3e2b+152,0
L3e2b1,0
L3e2b1a2,0
L3e2b3,0
L3e2b7,0
L3e3a,0
L3e3b,0
L3e3b1,0
L3e3b2,0
L3e4,0
L3e4a1,0
L3e5,0
L3e5b,0
L3e5d,0
L3f,0
L3f1b,1
L3f1b+16292+150,1
L3f1b1,0
L3f1b1a,0
L3f1b1a1,0
L3f1b4a,0
L3f1b4a1,0
L3f1b4b,0
L3f1b4c,0
L3f2a1,0
L3f3,0
L3f3b,0
L3h1a1,0
L3h1a2,1
L3h1b1a,0
L3k1,0
L3x1a2,0
L4b1a,0
L4b2a,1
L4b2a1,0
L4b2b,1
L5a1,1
L5a1c,0
M1a1b1,0
M1a1b2,0
M1a1i,0
M1a2,0
M1a3b,0
M1a3b2,0
M1a6,0
M1b1,0
M1b1a,0
M1b2,0
M20,0
M23,0
M32c,0
M7c1,0
M7c1c3,0
M9,0
N1a1a3,0
N1a3a,0
N1b1a,0
Q1d,0
R0a1,0
R0a1+152,0
R0a1a,0
R0a2,0
R0a2a,0
R0a2a1,0
R0a2c,0
R0a2k,0
T1a,0
T1a6,0
T2+16189,0
T2a1a,0
T2a2,0
T2b,0
T2b3+151,0
T2b32,0
T2b4+152,0
T2b7a3,0
T2c1+146,0
T2c1a2,0
T2c1c1,0
T2d1b2,0
T2e,0
T2g1a,0
U1a1a+16129,0
U1a1c1d,0
U1a3,0
U2d,1
U2e1a1,0
U3a,0
U3a1,0
U3a3,0
U3b,0
U4a2d,0
U5a1c,1
U5a2a,0
U5a2b,0
U5a2c1,0
U5b1b1b,0
U5b1e,0
U5b2a1a1,0
U5b2b3,0
U6a1a1,0
U6a3b1,0
U6a3e,0
U6a5a,0
U6a5c,0
U6a6b2,0
U6a7a1b,0
U6a7a2,0
U6a7b1,0
U6b,0
U6d2,0
U6d3a,0
U7a2a,0
U7a4,0
U8b1a1,0
U8b1a2a,0
U8b1a2b,0
V,0
V+@72,0
V25,0
W+194,0
W1c1,0
W3a1,0
W4,0
X2+225,0
X2+225+@16223,0
X2i+@225,0
X3a,0
