Continent,Count,Max,Min,Min_nonzero,Pq_nonzero,Range,Ratio(Max/P01_nonzero),StdDev,Skewness,Skew_method,AncientRatio(>100000),Estimated_Peaks,Diversity_pattern_score,Unique_hap_score,Max_norm,AncientRatio(>100000)_norm,StdDev_norm,Range_norm,Skewness_norm,Estimated_Peaks_norm,Diversity_pattern_score_norm,Unique_hap_score_norm,All_score_raw,All_score,Class_label
Africa,300,115944.44444444444,0.0,166.66666666666669,222.22222222222223,115944.44444444444,521.75,16533.94827808822,2.760943666230787,moment,0.0033333333333333,4.0,0.5223,0.070681,1.0,0.9213503964748575,0.7957678628935707,0.9213492943922463,0.920170499230842,0.7602499389065234,0.3555636528834888,0.46656168759729977,8.47342639909408,0.8847846824989312,Origin_like
Central_Asia,300,57000.0,0.0,111.11111111111111,222.22222222222223,57000.0,256.5,11019.525444498751,1.0867668243154325,moment,0.0,3.0,0.4892,0.021898,0.0,0.23975006109347674,0.07970550079420202,0.24099302318801918,0.20238020001097168,0.07864960352514261,0.1594227100966299,0.11887507934946057,1.4986751338744246,0.10588024032557197,Mix_like
Southeast_Asia,300,56777.777777777774,0.0,55.55555555555556,131.11111111111111,56777.777777777774,433.0508474576271,15926.272704051747,1.281205291005078,moment,0.0,4.0,0.6141,0.130662,0.0,0.23975006109347674,0.719196448938231,0.23851293171312887,0.2832987136396292,0.7602499389065234,0.9142149004436109,0.8969827153794666,5.197554579119082,0.519735156990732,Middle_like
