Continent,Count,Max,Min,Min_nonzero,Pq_nonzero,Range,Ratio(Max/P01_nonzero),StdDev,Skewness,Skew_method,AncientRatio(>100000),Estimated_Peaks
Africa,300,115944.44444444444,0.0,166.66666666666669,222.22222222222223,115944.44444444444,521.75,16533.94827808822,2.760943666230787,moment,0.0033333333333333335,4.0
Central_Asia,300,57000.0,0.0,111.11111111111111,222.22222222222223,57000.0,256.5,11019.525444498753,1.0867668243154323,moment,0.0,3.0
Southeast_Asia,300,56777.777777777774,0.0,55.55555555555556,131.11111111111111,56777.777777777774,433.05084745762707,15926.272704051747,1.281205291005078,moment,0.0,4.0
